engagement_probability,threeXthree,twoXtwo
0.567814827,1,1
0.503132701,0,0
0.093146294,0,0
0.079392992,0,0
0.025530873,0,0
0.131134093,0,0
0.04164993,0,0
0.038613457,0,0
0.459708303,1,1
0.076966688,0,0
0.511187732,1,1
0.471062362,1,1
0.06917882,0,0
0.392232776,1,1
0.083249666,0,0
0.174951598,0,0
0.118283391,0,0
0.218628943,0,0
0.126448765,0,0
0.10740409,0,0
0.088776961,0,0
0.11065989,0,0
0.407683432,1,1
0.493428886,0,0
0.03035211,0,0
0.633163333,0,0
0.084593639,0,0
0.142925352,0,0
0.104786716,0,0
0.106954738,0,0
0.068485148,0,0
0.077494577,0,0
0.033698086,0,0
0.137871638,0,0
0.088146009,0,0
0.516492367,0,0
0.133330032,0,0
0.40730086,0,0
0.583674371,0,0
0.390820175,0,0
0.139802948,0,0
0.079491578,0,0
0.495518237,0,1
0.514967084,0,1
0.476680219,1,1
0.458928674,0,0
0.053111564,0,0
0.101519398,0,0
0.04040369,0,0
0.082357205,0,0
0.169784427,0,0
0.488089055,1,1
0.298983097,1,1
0.082518101,0,0
0.096283607,0,0
0.441429138,1,1
0.38280344,1,1
0.041273884,0,0
0.215826809,0,0
0.434346795,0,0
0.499532491,0,0
0.032972086,0,0
0.472532004,0,0
0.046303295,0,0
0.397370249,0,0
0.05621608,0,0
0.132038444,0,0
0.464229286,0,0
0.053947121,0,0
0.085677072,0,0
0.440815359,0,0
0.471742362,1,1
0.04194887,0,0
0.100264668,0,0
0.071045965,0,0
0.237524241,0,0
0.046655979,0,0
0.034804713,0,0
0.382637382,0,0
0.382723749,0,0
0.043415356,0,0
0.125879645,0,0
0.536498427,1,1
0.099238351,0,0
0.071797781,0,0
0.452122331,1,1
0.420870513,0,0
0.1764175,0,0
0.041182108,0,0
0.037099227,0,0
0.06132061,0,0
0.459347188,0,0
0.093304068,0,0
0.034037344,0,0
0.536433876,1,1
0.026495259,0,0
0.026116831,0,0
0.03339972,0,0
0.489042997,0,0
0.090033762,0,0
0.106605485,0,0
0.129072666,0,0
0.049498167,0,0
0.10575711,0,0
0.051770229,0,0
0.051818077,0,0
0.039850555,0,0
0.153027296,0,0
0.556972921,0,0
0.582343936,0,0
